face_shape,round,oval,cat,rectangular,aviator,wrap
triangle,0.6667,0.3333,0.8333,0.1667,0.25,0.3333
oblong,0,0,0,0.6667,0.3333,0.6667
square,1,0.8,0.6,0,0.6,0.75
diamond,0.6667,0.6667,0.6667,0,0,0
round,0,0,0.1667,1,0.25,0.3333
rectangular,0.5,0.25,0,0.5,0.3333,0.5
